cotacaoCompra,cotacaoVenda,dataHoraCotacao
3.8589,3.8595,2019-01-02 13:04:46.568
3.7677,3.7683,2019-01-03 13:04:50.817
3.7621,3.7627,2019-01-04 13:06:29.332
3.7056,3.7062,2019-01-07 13:09:39.652
3.7202,3.7208,2019-01-08 13:09:06.450
3.6925,3.6931,2019-01-09 13:22:28.243
3.6863,3.6869,2019-01-10 13:03:05.634
3.7135,3.7141,2019-01-11 13:09:51.933
3.7255,3.726,2019-01-14 13:07:34.594
3.7043,3.7049,2019-01-15 13:13:35.572
3.7191,3.7197,2019-01-16 13:07:34.226
3.7585,3.7591,2019-01-17 13:11:05.484
3.748,3.7486,2019-01-18 13:10:12.530
3.7699,3.7705,2019-01-21 13:05:38.720
3.7609,3.7615,2019-01-22 13:11:32.497
3.7988,3.7994,2019-01-23 13:07:25.966
3.7809,3.7815,2019-01-24 13:08:47.398
3.7613,3.7626,2019-01-25 13:05:43.204
3.767,3.7676,2019-01-28 13:08:36.868
3.7364,3.737,2019-01-29 13:19:36.769
3.7145,3.7151,2019-01-30 13:08:47.599
3.6513,3.6519,2019-01-31 13:02:55.880
3.6688,3.6694,2019-02-01 13:09:03.898
3.675,3.6756,2019-02-04 13:11:36.952
3.6735,3.6741,2019-02-05 13:10:43.043
3.7013,3.7019,2019-02-06 13:11:47.946
3.7187,3.7193,2019-02-07 13:12:02.413
3.7178,3.7184,2019-02-08 13:03:36.561
3.7385,3.7391,2019-02-11 13:10:41.426
3.729,3.7296,2019-02-12 13:09:34.609
3.7271,3.7277,2019-02-13 13:06:42.606
3.775,3.7756,2019-02-14 13:07:55.499
3.7149,3.7155,2019-02-15 13:03:29.581
3.731,3.7316,2019-02-18 13:10:48.574
3.72,3.7206,2019-02-19 13:09:51.281
3.7094,3.71,2019-02-20 13:10:38.213
3.7589,3.7595,2019-02-21 13:11:30.917
3.7424,3.743,2019-02-22 13:04:45.851
3.7279,3.7285,2019-02-25 13:04:32.810
3.7589,3.7595,2019-02-26 13:02:36.426
3.7345,3.7351,2019-02-27 13:10:37.626
3.7379,3.7385,2019-02-28 13:07:41.798
3.7826,3.7832,2019-03-01 13:25:14.449
3.8297,3.8303,2019-03-06 15:41:49.299
3.8481,3.8487,2019-03-07 13:10:11.600
3.8672,3.8678,2019-03-08 13:02:35.458
3.8455,3.8461,2019-03-11 13:05:37.826
3.8123,3.8129,2019-03-12 13:02:32.417
3.8259,3.8265,2019-03-13 13:07:32.528
3.8321,3.8327,2019-03-14 13:04:49.965
3.8338,3.8344,2019-03-15 13:08:41.666
3.8105,3.8111,2019-03-18 13:10:41.916
3.7756,3.7762,2019-03-19 13:06:32.310
3.7891,3.7897,2019-03-20 13:08:41.147
3.7961,3.7967,2019-03-21 13:04:01.750
3.8809,3.8815,2019-03-22 13:03:37.900
3.8764,3.877,2019-03-25 13:05:19.849
3.864,3.8646,2019-03-26 13:10:30.521
3.9383,3.9389,2019-03-27 13:04:31.363
3.9676,3.9682,2019-03-28 13:05:48.911
3.8961,3.8967,2019-03-29 13:05:04.372
3.8676,3.8682,2019-04-01 13:11:37.130
3.8655,3.8661,2019-04-02 13:06:40.208
3.843,3.8436,2019-04-03 13:08:42.683
3.8707,3.8713,2019-04-04 13:04:33.916
3.8616,3.8622,2019-04-05 13:10:41.534
3.8652,3.8658,2019-04-08 13:02:58.414
3.8557,3.8563,2019-04-09 13:02:35.147
3.8339,3.8345,2019-04-10 13:04:52.338
3.8393,3.8399,2019-04-11 13:07:38.923
3.8679,3.8685,2019-04-12 13:09:35.193
3.8724,3.873,2019-04-15 13:04:48.792
3.8907,3.8913,2019-04-16 13:11:50.933
3.9219,3.9225,2019-04-17 13:06:34.829
3.9364,3.937,2019-04-18 13:09:54.238
3.9224,3.923,2019-04-22 13:09:34.804
3.943,3.9436,2019-04-23 13:08:45.722
3.9624,3.963,2019-04-24 13:03:31.357
3.9719,3.9725,2019-04-25 13:10:33.168
3.9347,3.9353,2019-04-26 13:11:30.050
3.9358,3.9364,2019-04-29 13:10:45.166
3.9447,3.9453,2019-04-30 13:07:21.358
3.9644,3.965,2019-05-02 13:10:38.779
3.9382,3.9388,2019-05-03 13:06:41.703
3.9618,3.9624,2019-05-06 13:02:47.408
3.9874,3.988,2019-05-07 13:04:57.805
3.9338,3.9344,2019-05-08 13:02:48.453
3.9667,3.9673,2019-05-09 13:04:00.938
3.9572,3.9578,2019-05-10 13:08:45.718
3.9884,3.989,2019-05-13 13:05:59.645
3.9782,3.9788,2019-05-14 13:07:54.868
4.0025,4.0031,2019-05-15 13:07:16.383
4.0132,4.0138,2019-05-16 13:05:48.101
4.0838,4.0844,2019-05-17 13:05:10.265
4.105,4.1056,2019-05-20 13:11:37.033
4.0804,4.081,2019-05-21 13:02:43.126
4.0222,4.0228,2019-05-22 13:10:44.437
4.0507,4.0513,2019-05-23 13:09:33.448
4.0316,4.0322,2019-05-24 13:07:38.702
4.0204,4.021,2019-05-27 13:04:34.755
4.0269,4.0275,2019-05-28 13:03:31.230
3.9959,3.9965,2019-05-29 13:11:02.403
3.9714,3.972,2019-05-30 13:07:34.494
3.9401,3.9407,2019-05-31 13:10:42.115
3.8997,3.9003,2019-06-03 13:08:39.876
3.8704,3.871,2019-06-04 13:24:17.027
3.8605,3.8611,2019-06-05 13:09:37.223
3.872,3.8726,2019-06-06 13:03:30.338
3.8565,3.8571,2019-06-07 13:10:39.673
3.8784,3.879,2019-06-10 13:08:36.147
3.8658,3.8664,2019-06-11 13:04:06.604
3.8431,3.8437,2019-06-12 13:10:41.911
3.8423,3.8429,2019-06-13 13:04:31.756
3.8807,3.8813,2019-06-14 13:06:45.430
3.8889,3.8895,2019-06-17 13:03:37.449
3.8602,3.8608,2019-06-18 13:02:36.281
3.8717,3.8723,2019-06-19 13:09:35.962
3.8249,3.8255,2019-06-21 13:10:36.087
3.8228,3.8234,2019-06-24 13:10:35.774
3.8297,3.8303,2019-06-25 13:05:36.866
3.8435,3.8441,2019-06-26 13:09:31.528
3.8636,3.8642,2019-06-27 13:09:30.652
3.8316,3.8322,2019-06-28 13:06:29.684
3.8187,3.8193,2019-07-01 13:04:34.810
3.8558,3.8564,2019-07-02 13:02:31.855
3.8469,3.8475,2019-07-03 13:07:11.013
3.7934,3.794,2019-07-04 13:06:38.134
3.8198,3.8204,2019-07-05 13:04:34.465
3.8059,3.8065,2019-07-08 13:03:35.309
3.7846,3.7858,2019-07-09 13:03:34.964
3.7691,3.7697,2019-07-10 13:03:47.446
3.7527,3.7533,2019-07-11 13:09:09.885
3.7446,3.7452,2019-07-12 13:02:53.230
3.7457,3.7463,2019-07-15 13:10:36.121
3.7618,3.7624,2019-07-16 13:10:30.809
3.7612,3.7618,2019-07-17 13:09:33.254
3.7483,3.7489,2019-07-18 13:04:44.397
3.7402,3.7408,2019-07-19 13:09:34.798
3.7394,3.74,2019-07-22 13:10:59.268
3.7615,3.7621,2019-07-23 13:04:46.092
3.759,3.7596,2019-07-24 13:07:35.660
3.7843,3.7849,2019-07-25 13:05:19.674
3.7735,3.7741,2019-07-26 13:05:14.071
3.7903,3.7909,2019-07-29 13:12:02.255
3.7894,3.79,2019-07-30 13:07:28.910
3.7643,3.7649,2019-07-31 13:02:35.129
3.829,3.8296,2019-08-01 13:07:45.977
3.8733,3.8739,2019-08-02 13:10:31.723
3.9398,3.9404,2019-08-05 13:07:35.977
3.9637,3.9643,2019-08-06 13:08:30.747
3.9844,3.985,2019-08-07 13:11:33.020
3.9403,3.9409,2019-08-08 13:08:31.203
3.9356,3.9362,2019-08-09 13:11:33.670
3.996,3.9966,2019-08-12 13:09:45.511
3.973,3.9736,2019-08-13 13:10:36.780
4.0068,4.0074,2019-08-14 13:03:36.417
4.0182,4.0188,2019-08-15 13:07:32.659
3.9927,3.9933,2019-08-16 13:07:37.633
4.0268,4.0274,2019-08-19 13:09:34.290
4.0419,4.0425,2019-08-20 13:05:33.452
4.0248,4.0254,2019-08-21 13:06:56.801
4.0438,4.0444,2019-08-22 13:07:58.710
4.0845,4.0851,2019-08-23 13:03:40.234
4.1361,4.1367,2019-08-26 13:11:38.608
4.1551,4.1557,2019-08-27 13:06:31.644
4.1553,4.1559,2019-08-28 13:04:33.577
4.1674,4.168,2019-08-29 13:09:45.964
4.1379,4.1385,2019-08-30 13:06:39.228
4.1575,4.1581,2019-09-02 13:10:40.575
4.1651,4.1657,2019-09-03 13:05:34.847
4.1243,4.1249,2019-09-04 13:07:49.653
4.0853,4.0859,2019-09-05 13:08:45.272
4.0644,4.065,2019-09-06 13:05:41.348
4.076,4.0766,2019-09-09 13:10:40.723
4.1102,4.1108,2019-09-10 13:11:40.259
4.0625,4.0631,2019-09-11 13:02:33.418
4.0488,4.0494,2019-09-12 13:08:35.864
4.061,4.0616,2019-09-13 13:06:36.853
4.0866,4.0872,2019-09-16 13:04:39.901
4.0992,4.0998,2019-09-17 13:10:32.842
4.0966,4.0972,2019-09-18 13:10:47.836
4.1387,4.1393,2019-09-19 13:08:35.568
4.1681,4.1687,2019-09-20 13:08:37.472
4.1728,4.1734,2019-09-23 13:11:42.210
4.1715,4.1721,2019-09-24 13:07:08.372
4.1821,4.1827,2019-09-25 13:10:01.220
4.1463,4.1469,2019-09-26 13:09:34.075
4.1581,4.1587,2019-09-27 13:08:51.782
4.1638,4.1644,2019-09-30 13:02:55.944
4.1734,4.174,2019-10-01 13:08:33.662
4.154,4.1546,2019-10-02 13:02:48.703
4.1006,4.1012,2019-10-03 13:11:41.292
4.0604,4.061,2019-10-04 13:04:35.207
4.0682,4.0688,2019-10-07 13:10:34.430
4.0862,4.0868,2019-10-08 13:02:31.686
4.0948,4.0954,2019-10-09 13:08:35.025
4.1139,4.1145,2019-10-10 13:09:35.138
4.1054,4.106,2019-10-11 13:02:39.429
4.1257,4.1263,2019-10-14 13:03:44.914
4.1482,4.1488,2019-10-15 13:09:38.123
4.1708,4.1714,2019-10-16 13:04:01.790
4.1452,4.1457,2019-10-17 13:08:38.733
4.137,4.1376,2019-10-18 13:09:37.206
4.1313,4.1319,2019-10-21 13:09:38.032
4.0852,4.0858,2019-10-22 13:10:34.471
4.0715,4.0721,2019-10-23 13:04:41.305
4.0083,4.0089,2019-10-24 13:03:39.623
4.0127,4.0133,2019-10-25 13:10:32.932
3.9786,3.9793,2019-10-28 13:07:35.456
3.994,3.9946,2019-10-29 13:03:33.120
4.018,4.0186,2019-10-30 13:03:36.374
4.0035,4.0041,2019-10-31 13:08:45.496
3.978,3.9786,2019-11-01 13:08:58.001
3.9916,3.9922,2019-11-04 13:03:31.543
4.0037,4.0043,2019-11-05 13:10:31.292
4.0345,4.0351,2019-11-06 13:05:35.675
4.0921,4.0927,2019-11-07 13:11:36.723
4.1359,4.1365,2019-11-08 13:11:39.736
4.1553,4.1559,2019-11-11 13:02:46.598
4.175,4.1756,2019-11-12 13:10:33.461
4.1761,4.1767,2019-11-13 13:04:34.593
4.1825,4.1831,2019-11-14 13:08:20.360
4.1821,4.1827,2019-11-18 13:05:34.414
4.2078,4.2084,2019-11-19 13:07:25.508
4.2027,4.2037,2019-11-20 13:12:51.976
4.2006,4.2012,2019-11-21 13:03:40.946
4.1826,4.1832,2019-11-22 13:10:34.906
4.2083,4.2089,2019-11-25 13:07:45.424
4.2553,4.2559,2019-11-26 13:06:35.051
4.2596,4.2602,2019-11-27 13:09:31.449
4.2474,4.248,2019-11-28 13:05:40.116
4.2234,4.224,2019-11-29 13:07:41.629
4.2255,4.2261,2019-12-02 13:11:22.529
4.2002,4.2008,2019-12-03 13:10:42.091
4.192,4.1926,2019-12-04 13:10:28.492
